,Name,review
0,"<div class=""t-ZTKy""><div><div class="""">Back side look like a glass shine . Both side camera amazing and some more funtion in side or camera.<br/>Over all good and amazing for OPPO F19</div><span class=""_1H-bmy""><span>READ MORE</span></span></div></div>","<div><div class="""">Awesome 👍👍</div><span class=""_1H-bmy""><span>READ MORE</span></span></div>"
1,"<div class=""t-ZTKy""><div><div class="""">Good purchase<br/>Bright display best in class<br/>Camera is average but serves purpose<br/>Touch response is good a<br/>Best part is quick charge &amp; battery last one &amp; half day for regular use.<br/>Overall like it</div><span class=""_1H-bmy""><span>READ MORE</span></span></div></div>","<div><div class="""">Awesome 👍👍</div><span class=""_1H-bmy""><span>READ MORE</span></span></div>"
2,"<div class=""t-ZTKy""><div><div class="""">Best phone in this price range..I got this at a great price  after discount and exchange..and it's a steal deal..display,battery life and voice quality is too good..camera should have been better .but its good overall ...</div><span class=""_1H-bmy""><span>READ MORE</span></span></div></div>","<div><div class="""">Awesome 👍👍</div><span class=""_1H-bmy""><span>READ MORE</span></span></div>"
3,"<div class=""t-ZTKy""><div><div class="""">Mobile is very good <br/>Camera is also lovely  osm <br/>Performance is  v good <br/>Disply is osm <br/>Thanks Flipcart for giving a good phone....💖</div><span class=""_1H-bmy""><span>READ MORE</span></span></div></div>","<div><div class="""">Awesome 👍👍</div><span class=""_1H-bmy""><span>READ MORE</span></span></div>"
4,"<div class=""t-ZTKy""><div><div class="""">Camara performance soo good</div><span class=""_1H-bmy""><span>READ MORE</span></span></div></div>","<div><div class="""">Awesome 👍👍</div><span class=""_1H-bmy""><span>READ MORE</span></span></div>"
5,"<div class=""t-ZTKy""><div><div class="""">Good</div><span class=""_1H-bmy""><span>READ MORE</span></span></div></div>","<div><div class="""">Awesome 👍👍</div><span class=""_1H-bmy""><span>READ MORE</span></span></div>"
6,"<div class=""t-ZTKy""><div><div class="""">Camera could have been better at this price point. It gives an unwanted brightness to the pictures but, if exposure is controlled, the outcome can be nice. And wide angle camera could have better than a macro one<br/><br/>Design too good. Its' crisp.....!<br/><br/>Weight distribution excellent<br/> <br/>Loads and loads of features from colour os 11. Loved this!</div><span class=""_1H-bmy""><span>READ MORE</span></span></div></div>","<div><div class="""">Awesome 👍👍</div><span class=""_1H-bmy""><span>READ MORE</span></span></div>"
7,"<div class=""t-ZTKy""><div><div class="""">Love it 💕💕</div><span class=""_1H-bmy""><span>READ MORE</span></span></div></div>","<div><div class="""">Awesome 👍👍</div><span class=""_1H-bmy""><span>READ MORE</span></span></div>"
8,"<div class=""t-ZTKy""><div><div class="""">Camera Quality is very good 😍♥️🥰</div><span class=""_1H-bmy""><span>READ MORE</span></span></div></div>","<div><div class="""">Awesome 👍👍</div><span class=""_1H-bmy""><span>READ MORE</span></span></div>"
9,"<div class=""t-ZTKy""><div><div class="""">Awesome 👍👍</div><span class=""_1H-bmy""><span>READ MORE</span></span></div></div>","<div><div class="""">Awesome 👍👍</div><span class=""_1H-bmy""><span>READ MORE</span></span></div>"
